,x,y
0,4.0529437,6.2577834
1,15.745515,7.0153484
2,1.2394716,14.583251
3,-4.31581,1.2445534
4,-0.7479854,11.168003
5,4.1144123,-0.5097235
6,-0.9667094,-4.1628857
7,5.6785297,4.088637
8,-1.7143214,-3.8841336
9,-1.8816998,14.8607645
10,6.2271366,4.634699
11,2.71964,4.6306353
12,6.087362,6.1814427
13,11.397077,4.292452
14,-0.91738075,-3.168961
15,-4.5465026,9.000734
16,3.4764438,-1.6126462
17,-0.22924253,5.3900914
18,10.341382,3.6462348
19,-2.109127,9.949136
20,1.6602893,14.40719
21,16.046446,7.1232467
22,-1.7035428,10.328861
23,-4.3186383,1.3145785
24,-1.9174511,-2.588471
25,2.093773,-0.15891068
26,-0.6591528,13.312575
27,5.976173,4.829166
28,-3.8326998,9.072373
29,-4.049088,8.329793
30,6.339212,6.5799155
31,-0.5332377,5.1324506
32,10.528004,4.540733
33,-2.318383,9.594276
34,15.316838,5.914055
35,3.1217687,4.697268
36,10.520999,3.6250355
37,15.512074,6.144582
38,-3.7700653,11.357921
39,10.961196,4.192611
40,-2.6893091,-2.6885345
41,0.34087238,5.90069
42,-3.5532887,11.020348
43,-2.1211877,10.240703
44,5.021555,5.5124006
45,-0.79058987,10.824474
46,0.7182589,6.9812613
47,3.100555,5.686186
48,5.124024,5.8440075
49,5.8244762,4.5329704
50,6.8117228,5.4760423
51,15.310484,7.7302337
52,-5.122697,10.893695
53,-1.9126064,13.7053995
54,-0.80818003,10.884563
55,-0.20408529,6.294896
56,14.536845,8.119277
57,-1.5979589,10.148493
58,0.7704745,14.026392
59,-3.7451806,1.274602
60,1.6989397,14.655211
61,-2.1439996,14.346411
62,10.48203,3.1633294
63,15.785073,7.214139
64,0.29343638,14.996098
65,2.590908,4.611915
66,10.932279,3.3576107
67,-2.755988,-0.5696359
68,14.7158,8.8651705
69,14.49515,6.4366765
70,-1.1650444,-2.72141
71,-4.5794826,8.688741
72,-1.2835764,-2.460798
73,10.956445,3.8004668
74,5.6609645,5.551705
75,15.304673,6.4301724
76,1.7297971,-0.16049644
77,-3.8626657,0.40865257
78,-3.1658878,0.47844627
79,-4.158834,8.433087
80,14.083487,6.8663683
81,15.281785,6.3398547
82,3.7579374,-1.8203706
83,11.418339,4.0022426
84,-4.262017,10.917215
85,0.38858914,5.7100763
86,5.9093738,6.6836786
87,-1.0881943,9.926129
88,14.499673,8.036041
89,-1.4250606,15.201018
90,11.384099,4.0440254
91,-5.01799,9.119858
92,0.6438524,13.943414
93,10.910426,3.802225
94,-0.15715882,6.215715
95,15.119628,6.3457594
96,-3.9677901,10.246338
97,-0.16092044,5.880836
98,5.645806,5.4741135
99,-3.9913542,0.28761193
100,3.1362517,6.640244
101,-5.3093476,10.158788
102,-1.1404376,-2.9158237
103,-4.6499453,9.7538595
104,-0.5779086,-4.25127
105,-3.0442066,0.30292606
106,10.575147,4.2364926
107,6.412049,3.999617
108,14.890868,8.879574
109,3.313781,0.56118923
110,1.2556365,12.429961
111,5.543954,4.6211762
112,-2.6590705,-2.9311652
113,-3.10523,1.0170232
114,15.880017,8.3696375
115,-1.4385782,14.743148
116,0.058504894,11.430537
117,2.6112754,-0.018465467
118,14.714404,7.222895
119,16.191332,7.0873294
120,-4.363963,9.758987
121,15.344184,8.559696
122,2.6174018,-0.6100145
123,-4.7957664,8.694646
124,-1.871344,-1.6919689
125,0.52172935,5.880619
126,10.29422,4.0441103
127,-2.0032504,15.118543
128,-2.0166063,-2.746965
129,10.969882,2.9827678
130,5.55694,4.8583403
131,-1.9846004,14.952293
132,5.170662,5.847835
133,-1.661328,10.986438
134,-0.18968713,-4.5290766
135,6.042784,3.7688146
136,5.646215,6.0425973
137,-0.019624554,5.5660906
138,5.2636857,6.8213263
139,-1.7403871,14.3193655
140,-3.247024,9.6862
141,-4.1444063,8.356009
142,-1.0213444,13.955712
143,3.1656878,0.23764756
144,1.4094651,7.2488775
145,2.7883182,4.966958
146,-0.21962251,5.8161926
147,10.634458,3.9157202
148,-2.885953,9.760587
149,5.9248805,5.464173
150,-0.92635626,13.108159
151,11.22326,3.8955755
152,-1.9195347,-1.4787302
153,-1.9768083,10.14231
154,-4.3719482,11.275918
155,11.169605,3.394081
156,16.095701,8.231999
157,6.080597,3.716334
158,-5.1428537,12.317019
159,3.0837452,-0.09563417
160,1.0251638,7.2408347
161,2.3260381,-0.14940603
162,-0.09084566,11.908416
163,-2.0839646,14.34086
164,1.3508872,14.51938
165,11.062511,3.6918848
166,-1.3797725,14.1558275
167,-1.0769737,10.157894
168,-3.4202642,9.697623
169,14.97995,6.1959434
170,0.314726,12.021766
171,2.8761067,-0.11992138
172,-4.6651864,11.231781
173,2.8614957,4.471966
174,-2.9785492,-2.4642928
175,3.0856621,4.8297095
176,-0.33341238,12.162714
177,-3.7789764,-0.23269172
178,4.7045903,-1.4785731
179,5.612855,4.117735
180,1.6343772,-0.93931013
181,5.4701657,3.906841
182,5.5580983,7.055495
183,-0.9387569,10.634379
184,-0.7672812,-3.8019326
185,-5.169772,9.318071
186,10.724311,5.3364415
187,2.3424373,0.108658805
188,0.64650947,7.3127384
189,3.0165346,0.27115896
190,2.6046944,-0.20855384
191,2.6965957,4.8811097
192,14.754974,6.6718435
193,-5.089107,9.157486
194,0.50085616,14.370775
195,-1.9108332,9.8892355
196,-5.081142,11.99897
197,-0.25321102,5.2820926
198,6.4375463,5.6898513
199,3.5383744,-0.016566701
200,-0.90735084,-3.945817
